StateAbbreviation,AreaCurrentPercent,AreaCurrent,PopulationCurrent,PopulationCurrentPercent,PercentChangeFromWAve,AreaChangeFromWAve,StatisticFormatID,USDMLevelID,USDMLevel,Name,AreaMiles,MapDate
CA,6.09,"9,634.34","1,413,939.09",3.80,0.00,0.00,1,1,D0  ,California,"158,147.87",2005-12-27
CA,1.68,"2,654.31","376,475.47",1.01,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-01-03
CA,3.40,"5,374.50","623,196.61",1.67,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-01-10
CA,2.92,"4,610.64","530,732.97",1.42,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-01-17
CA,2.92,"4,610.64","530,732.90",1.42,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-01-24
CA,2.92,"4,610.64","530,732.93",1.42,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-01-31
CA,13.32,"21,070.66","13,719,683.07",36.83,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-02-07
CA,13.41,"21,209.88","13,733,767.47",36.87,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-02-14
CA,15.79,"24,977.38","14,577,518.29",39.13,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-02-21
CA,24.14,"38,183.47","11,555,766.76",31.02,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-02-28
CA,0.48,764.21,"77,311.61",0.21,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-02-28
CA,21.82,"34,501.35","7,291,357.92",19.57,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-03-07
CA,0.52,815.13,"82,462.49",0.22,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-03-07
CA,16.41,"25,959.34","3,968,819.76",10.65,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-03-14
CA,0.52,815.13,"82,462.52",0.22,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-03-14
CA,16.41,"25,959.35","3,968,820.23",10.65,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-03-21
CA,0.55,875.52,"88,571.94",0.24,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-03-21
CA,8.38,"13,254.21","2,425,437.92",6.51,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-03-28
CA,0.55,875.52,"88,571.95",0.24,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-03-28
CA,7.53,"11,904.08","1,983,422.96",5.32,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-04-04
CA,0.16,252.55,"25,549.63",0.07,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-04-04
CA,7.08,"11,204.59","1,842,667.38",4.95,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-04-11
CA,0.16,252.55,"25,549.64",0.07,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-04-11
CA,7.08,"11,204.59","1,842,666.86",4.95,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-04-18
CA,0.16,252.55,"25,549.67",0.07,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-04-18
CA,7.08,"11,204.59","1,842,666.65",4.95,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-04-25
CA,0.16,252.55,"25,549.68",0.07,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-04-25
CA,7.64,"12,086.99","2,149,897.46",5.77,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-05-02
CA,0.01,10.79,"1,091.19",0.00,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-05-02
CA,7.64,"12,086.99","2,149,897.11",5.77,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-05-09
CA,7.64,"12,086.99","2,149,896.98",5.77,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-05-16
CA,0.07,105.19,"4,970.27",0.01,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-05-16
CA,7.64,"12,086.99","2,149,896.85",5.77,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-05-23
CA,0.07,105.19,"4,970.27",0.01,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-05-23
CA,7.54,"11,917.95","2,093,398.10",5.62,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-05-30
CA,0.07,105.19,"4,970.27",0.01,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-05-30
CA,7.54,"11,917.95","2,093,398.01",5.62,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-06-06
CA,0.07,105.19,"4,970.26",0.01,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-06-06
CA,7.54,"11,917.95","2,093,397.44",5.62,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-06-13
CA,0.07,105.19,"4,970.27",0.01,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-06-13
CA,7.54,"11,917.94","2,093,397.24",5.62,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-06-20
CA,0.07,105.19,"4,970.28",0.01,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-06-20
CA,8.24,"13,026.25","2,437,016.71",6.54,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-06-27
CA,0.07,105.19,"4,970.26",0.01,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-06-27
CA,8.30,"13,122.66","2,458,021.75",6.60,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-07-04
CA,0.07,110.92,"4,911.44",0.01,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-07-04
CA,8.00,"12,649.82","2,221,061.61",5.96,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-07-11
CA,0.12,190.56,"9,925.66",0.03,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-07-11
CA,7.73,"12,217.56","2,186,143.18",5.87,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-07-18
CA,0.12,190.56,"9,925.68",0.03,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-07-18
CA,7.73,"12,217.56","2,186,143.04",5.87,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-07-25
CA,0.12,190.56,"9,925.68",0.03,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-07-25
CA,7.73,"12,217.56","2,186,142.95",5.87,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-08-01
CA,0.12,190.56,"9,925.70",0.03,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-08-01
CA,7.73,"12,217.56","2,186,142.79",5.87,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-08-08
CA,0.12,190.56,"9,925.70",0.03,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-08-08
CA,7.73,"12,217.56","2,186,142.19",5.87,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-08-15
CA,0.16,245.95,"13,128.90",0.04,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-08-15
CA,6.97,"11,017.50","1,808,661.01",4.85,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-08-22
CA,0.06,100.80,"4,634.86",0.01,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-08-22
CA,6.77,"10,699.87","1,704,315.49",4.57,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-08-29
CA,0.05,84.32,"3,357.01",0.01,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-08-29
CA,15.21,"24,052.56","3,293,640.41",8.84,0.00,0.00,1,1,D0  ,California,"158,147.87",2006-09-05
CA,2.62,"4,136.84","331,648.59",0.89,0.00,0.00,1,2,D1  ,California,"158,147.87",2006-09-05
